,wl,power
735,1035,0.5922681320690525
736,1036,0.5920990730999999
737,1037,0.5860477236182926
738,1038,0.5832946972829268
739,1039,0.5873778747898962
740,1040,0.583371619668166
741,1041,0.5834644071919722
742,1042,0.5837509671724138
743,1043,0.5779846613275862
744,1044,0.5807583513662068
745,1045,0.5775935630343836
746,1046,0.5626450732971917
747,1047,0.5713259301006164
748,1048,0.5765438823131973
749,1049,0.5734307843820408
750,1050,0.5698369161359185
751,1051,0.5705208780920679
752,1052,0.5671903532924746
753,1053,0.5656350569736949
754,1054,0.5634522287690237
755,1055,0.565401735356229
756,1056,0.5638025890484848
757,1057,0.5626070101181878
758,1058,0.5570026923549664
759,1059,0.5402275540897651
760,1060,0.5553198836325
761,1061,0.5426924415944999
762,1062,0.5528565522969999
763,1063,0.5440692585140398
764,1064,0.552625407295894
765,1065,0.5503402503214568
766,1066,0.5401085869018422
767,1067,0.5431698058231579
768,1068,0.5426682202042106
769,1069,0.5138824913014426
770,1070,0.5303302179446229
771,1071,0.5410831979330819
772,1072,0.5402314652966775
773,1073,0.5301669568546905
774,1074,0.5461727347939415
775,1075,0.5208269150862136
776,1076,0.5405179982927832
777,1077,0.5315824649623948
778,1078,0.5307862469287139
779,1079,0.5323367218103537
780,1080,0.5259186972927974
781,1081,0.5116942537539424
782,1082,0.5194642537224359
783,1083,0.5273905457094231
784,1084,0.5102857386640001
785,1085,0.5234989763774603
786,1086,0.48907563147714295
787,1087,0.5005882947681646
788,1088,0.5238489664498102
789,1089,0.5116279300568988
790,1090,0.49102682794622654
791,1091,0.5199889659449686
792,1092,0.5138434490352202
793,1093,0.45149823530000005
794,1094,0.47735550224999995
795,1095,0.46071224614999995
796,1096,0.44542145375000003
797,1097,0.51220290252
798,1098,0.44537759891000006
799,1099,0.44975580771999984
800,1100,0.43040483352780856
801,1101,0.44040029677925924
802,1102,0.4155480681135494
803,1103,0.4134449763395385
804,1104,0.4146600101253846
805,1105,0.44914161993292306
806,1106,0.3529689672
807,1107,0.4285699944
808,1108,0.36886235775
809,1109,0.36639797529999996
810,1110,0.42524689542227956
811,1111,0.29439271356468083
812,1112,0.3672963025957143
813,1113,0.23849108860391566
814,1114,0.26636552380617473
815,1115,0.22199038521334336
816,1116,0.17891249060108108
817,1117,0.07075076186834234
818,1118,0.19332650887216218
819,1119,0.10059026443324325
820,1120,0.12613756406916418
821,1121,0.16525276029426864
822,1122,0.07264078803211343
823,1123,0.11399397291547338
824,1124,0.09668986531745562
825,1125,0.1283551927518343
826,1126,0.04590045399859291
827,1127,0.13992142433849555
828,1128,0.0882966004960708
829,1129,0.0942535913255752
830,1130,0.06281260696520234
831,1131,0.2631176697935484
832,1132,0.2084054366877126
833,1133,0.1364927928049128
834,1134,0.037166717950755816
835,1135,0.013769873734238372
836,1136,0.11468530391406977
837,1137,0.2564151446782609
838,1138,0.18111020070028985
839,1139,0.26596266939130436
840,1140,0.22810696600517244
841,1141,0.17231846377988505
842,1142,0.20033040631551724
843,1143,0.2779168925074712
844,1144,0.10095092585199998
845,1145,0.13017945932228572
846,1146,0.14053158752800002
847,1147,0.05275921816218182
848,1148,0.2417600645836364
849,1149,0.19489117071454548
850,1150,0.10849053906909094
851,1151,0.1814265290745763
852,1152,0.22088647334271186
853,1153,0.2124285242212429
854,1154,0.12711261708629212
855,1155,0.2793811320680899
856,1156,0.25059855478258425
857,1157,0.2806428392025843
858,1158,0.2780764267477994
859,1159,0.30056805076930365
860,1160,0.25555661943309194
861,1161,0.3100111743121607
862,1162,0.3122316788793906
863,1163,0.4179820574532133
864,1164,0.3584912907513574
865,1165,0.3466336375818182
866,1166,0.3344325121938843
867,1167,0.36565120358931136
868,1168,0.37417661106356165
869,1169,0.37730241567945205
870,1170,0.4090223062627398
871,1171,0.39967921041726034
872,1172,0.40543810918495915
873,1173,0.4067999775943324
874,1174,0.3002505599267575
875,1175,0.40310705811008174
876,1176,0.4247959435444053
877,1177,0.42080272152689185
878,1178,0.32068490302702696
879,1179,0.430846353392386
880,1180,0.39248857543710447
881,1181,0.40531744220439675
882,1182,0.28777378202916887
883,1183,0.3905921345401069
884,1184,0.37374916779144385
885,1185,0.36261683913743314
886,1186,0.42462093924064176
887,1187,0.40551036731896556
888,1188,0.29805716414896555
889,1189,0.3697431105955172
890,1190,0.41121272263344827
891,1191,0.39711574902796837
892,1192,0.4208564775075463
893,1193,0.403894085551029
894,1194,0.4167837766923483
895,1195,0.3972241866848168
896,1196,0.3832594239439791
897,1197,0.4239303627722514
898,1198,0.38546095344
899,1199,0.3240684899878125
900,1200,0.398014818609375
901,1201,0.38801092696625006
902,1202,0.38800118848658915
903,1203,0.3851703485913953
904,1204,0.3215403399850387
905,1205,0.38748565527534884
906,1206,0.4263492419014396
907,1207,0.3810399279245758
908,1208,0.38413958516262214
909,1209,0.3670545092356812
910,1210,0.40157696173714286
911,1211,0.3739816363355102
912,1212,0.3761561315332653
913,1213,0.4155905895514286
914,1214,0.38405525154304565
915,1215,0.37837349507208123
916,1216,0.41236747476954316
917,1217,0.40239290492345176
918,1218,0.4058237706532997
919,1219,0.39443583268896726
920,1220,0.40435846816675064
921,1221,0.4106020897890177
922,1222,0.398159483294275
923,1223,0.39153768113834997
924,1224,0.3949245933378
925,1225,0.4073479321251
926,1226,0.41230853733293527
927,1227,0.38118759219263676
928,1228,0.4105322933802985
929,1229,0.41090716909094527
930,1230,0.40438571289507425
931,1231,0.414709535852995
932,1232,0.4094797408656188
933,1233,0.39841046241433165
934,1234,0.41236876364647057
935,1235,0.407617659802549
936,1236,0.41089609974970587
937,1237,0.4056523567372304
938,1238,0.4093832594400732
939,1239,0.40450397679921946
940,1240,0.4025139711893414
941,1241,0.4032761695303171
942,1242,0.40340548718050845
943,1243,0.3987798604990314
944,1244,0.3964864471118644
945,1245,0.39726788344007263
946,1246,0.3994399612181928
947,1247,0.3973162445747952
948,1248,0.39791174805156626
949,1249,0.39843594516708436
950,1250,0.39576566786052636
951,1251,0.39143660874
952,1252,0.38958732321861245
953,1253,0.38633481380961726
954,1254,0.38234581434109005
955,1255,0.3879198802052133
956,1256,0.3784010923003318
957,1257,0.37367913982502365
958,1258,0.3814414728636967
959,1259,0.3656999306963444
960,1260,0.36841463255165097
961,1261,0.351076235250802
962,1262,0.33707055351516513
963,1263,0.34031779110443666
964,1264,0.31529798480535215
965,1265,0.3352104472880282
966,1266,0.32574729623514087
967,1267,0.3275700488147907
968,1268,0.3119028471078605
969,1269,0.20704385690176744
970,1270,0.3246407856621396
971,1271,0.34127856086547353
972,1272,0.34078296204381064
973,1273,0.33772439080542727
974,1274,0.3366920700647113
975,1275,0.34086839540459585
976,1276,0.34357637621247705
977,1277,0.34495050226944957
978,1278,0.35002363698220185
979,1279,0.346334185107523
980,1280,0.34302601808219185
981,1281,0.33456379130136993
982,1282,0.3006823882191781
983,1283,0.326933659739726
984,1284,0.3363046683287671
985,1285,0.33713689936642527
